83	19	7
83	19	4
85	17	3
85	16	6
84	15	8
83	15	6
85	14	5
85	11	4
85	9	5
84	8	7
82	8	8
81	6	6
80	6	8
79	6	11
78	9	11
76	7	10
76	9	10
77	8	8
80	8	7
79	10	7
80	11	9
81	9	11
80	9	14
81	9	17
80	11	17
79	11	20
76	10	20
74	11	19
75	14	19
75	16	18
77	17	16
78	17	19
78	15	18
81	16	18
83	18	19
83	16	20
85	17	19
85	16	17
83	17	15
83	18	17
82	20	15
79	20	14
77	19	15
74	19	15
73	19	12
71	18	10
70	18	13
71	16	12
73	15	10
74	15	7
71	16	7
70	16	10
68	14	11
66	12	10
67	14	8
67	12	8
69	10	7
68	12	5
65	12	4
66	10	2
68	10	2
67	7	2
68	5	3
68	3	2
69	1	4
70	1	7
72	2	5
74	0	4
76	1	6
76	2	9
73	3	9
76	4	9
75	3	7
78	3	8
78	2	6
80	2	7
82	2	7
82	2	10
81	0	10
81	1	12
82	3	12
82	5	12
83	7	10
82	7	12
82	10	13
82	10	15
83	8	15
84	6	15
83	4	14
82	6	16
79	5	16
77	7	17
76	7	14
75	5	15
73	7	16
71	7	16
70	7	18
67	7	19
66	6	17
64	5	15
62	4	15
63	2	15
63	0	16
61	2	17
59	1	15
56	2	15
58	3	15
58	4	12
60	5	14
58	7	15
56	6	17
54	7	19
56	7	19
55	9	19
56	9	16
54	7	17
52	6	16
52	6	13
50	7	15
48	8	17
48	7	15
47	8	13
47	10	13
45	9	12
45	10	14
43	12	13
41	13	15
41	14	17
40	16	16
41	16	14
42	14	12
39	14	11
39	15	8
36	15	9
37	15	11
37	14	13
38	17	13
35	16	13
34	18	15
35	18	18
32	19	18
31	16	18
31	17	16
32	18	14
32	17	11
35	16	11
34	13	11
34	14	9
35	15	7
36	17	7
36	17	5
35	14	5
34	16	4
32	16	4
29	16	4
28	15	6
26	15	7
27	13	6
26	11	4
24	12	6
23	12	3
26	12	2
27	12	0
27	9	0
28	7	2
31	7	2
32	10	2
33	9	4
35	9	5
33	11	6
34	11	3
35	11	1
36	9	3
39	9	4
40	11	4
39	12	2
38	14	4
38	16	3
39	18	1
40	18	4
43	19	4
42	19	6
43	17	7
44	15	7
44	12	7
44	9	8
45	11	10
45	9	10
42	9	10
42	11	9
41	10	7
42	9	5
44	9	4
44	10	6
42	11	5
43	12	3
45	13	3
44	13	5
45	15	5
47	14	3
48	12	2
46	14	1
48	15	1
50	15	1
49	15	4
51	14	6
52	13	8
54	11	9
54	14	8
54	16	9
55	15	11
55	15	13
56	15	15
58	14	13
58	16	12
60	18	13
60	15	14
60	16	16
62	18	15
64	16	16
64	19	15
64	19	18
63	16	18
64	14	16
66	15	17
66	15	15
66	17	14
67	15	13
66	12	13
65	12	15
63	13	14
62	11	13
61	9	11
59	10	10
58	8	12
57	10	11
54	10	12
52	9	12
50	11	13
50	12	16
47	12	16
44	12	15
43	11	17
41	11	18
41	10	15
39	9	17
37	8	16
37	9	13
37	11	14
36	11	17
34	10	15
35	8	15
34	8	18
33	8	15
32	10	16
30	11	18
31	13	16
32	12	18
32	9	18
30	7	19
28	8	19
26	9	17
27	6	17
27	3	16
28	1	14
26	3	13
26	0	12
26	1	10
24	2	11
23	4	12
21	4	12
22	3	10
22	2	12
20	3	14
19	0	14
19	1	12
17	1	13
17	4	12
15	5	10
16	5	8
14	7	7
14	4	6
12	3	6
12	1	7
10	0	9
7	0	8
5	0	8
4	2	6
6	3	8
4	2	10
6	3	11
7	1	12
9	2	12
8	2	15
7	5	15
5	5	15
6	3	16
7	3	18
8	6	18
6	7	17
5	9	16
7	10	14
8	9	12
8	11	11
7	10	9
7	7	8
9	9	7
10	8	9
10	11	9
9	13	8
10	13	11
11	13	9
13	14	7
15	12	6
17	13	5
16	15	5
17	17	5
16	16	3
14	14	4
14	13	1
12	15	2
14	17	3
12	16	5
14	16	5
14	19	6
14	20	8
13	19	10
13	16	10
14	14	10
15	12	10
13	12	10
15	10	11
17	9	13
18	9	11
17	7	13
19	6	15
21	5	16
23	3	15
24	5	14
23	7	15
24	9	15
25	7	14
25	9	13
24	10	11
24	8	11
26	7	9
24	6	11
22	7	13
19	8	13
19	8	15
20	7	17
19	7	19
19	10	18
19	13	19
17	11	18
18	13	17
19	13	15
20	12	13
21	10	12
20	10	10
22	11	9
22	8	8
21	7	6
18	7	6
18	6	8
18	4	7
17	4	5
17	3	3
20	3	2
19	3	4
22	2	4
24	3	4
24	2	6
25	0	5
28	0	6
30	2	7
32	0	6
33	2	6
34	5	6
36	4	7
37	3	9
36	2	7
35	2	10
35	4	10
32	4	11
32	7	10
33	7	8
35	6	9
37	5	9
38	5	6
39	7	5
38	7	2
41	7	2
40	5	1
42	4	3
41	2	2
43	4	1
44	6	3
45	6	5
48	5	5
48	3	4
49	2	2
52	2	2
52	1	4
52	2	7
53	4	6
52	4	3
53	6	3
51	8	2
53	9	0
55	8	2
57	8	3
58	6	1
61	5	1
61	7	2
63	7	3
62	5	4
60	3	5
60	1	5
62	1	5
63	3	6
65	4	5
68	5	5
68	7	5
70	7	4
72	6	6
74	7	5
75	9	5
75	11	5
75	10	2
77	11	4
78	10	2
80	11	2
82	9	1
82	9	4
82	12	5
83	12	8
81	13	9
81	15	8
82	17	8
