83	7	20
83	8	17
84	7	15
86	8	14
85	10	13
84	11	11
84	8	12
82	6	11
81	7	9
79	8	8
78	9	10
78	6	9
77	5	7
78	3	7
78	4	4
79	4	2
81	6	3
80	5	5
80	3	4
82	4	3
84	4	3
84	5	5
83	7	7
82	6	5
79	7	5
82	8	5
84	7	4
85	9	5
86	11	3
84	12	3
81	11	3
81	12	6
79	11	7
78	12	5
75	13	5
75	10	6
75	11	4
74	8	4
72	7	6
71	5	7
69	4	8
68	7	8
67	4	8
66	2	6
68	0	7
66	1	9
64	2	11
64	2	8
61	2	8
60	4	10
59	2	11
58	1	9
57	3	7
59	1	6
59	4	5
61	4	6
59	6	5
61	7	4
60	10	4
60	13	3
62	12	3
63	14	3
62	16	5
63	13	5
66	13	4
65	12	6
66	9	6
66	7	6
66	6	8
64	7	7
61	6	7
60	7	9
58	8	11
57	7	9
59	6	11
59	7	14
61	5	13
61	2	14
61	4	15
60	5	17
58	3	16
56	3	15
55	3	17
53	5	16
55	5	15
55	7	16
55	10	16
55	12	17
54	14	16
53	16	18
51	16	18
53	17	16
55	18	17
56	19	19
58	18	18
57	18	15
56	18	13
55	16	11
53	14	12
51	14	12
50	11	12
51	9	11
52	9	13
54	8	12
52	7	13
49	7	13
51	5	12
50	3	13
51	2	15
50	2	18
49	4	19
49	5	16
47	4	18
47	4	15
48	2	16
49	0	14
48	0	16
46	0	16
44	2	17
44	4	16
42	5	15
41	6	13
41	8	12
42	10	11
44	12	12
44	9	11
43	11	9
45	10	9
46	11	11
46	9	11
47	7	9
47	9	8
44	8	8
43	8	5
44	10	7
45	12	6
45	13	4
46	13	1
47	15	0
47	18	0
47	18	3
45	19	1
42	19	2
41	18	4
41	16	4
41	16	7
39	15	9
40	13	10
39	11	10
39	12	13
37	13	13
35	11	14
37	11	14
36	9	16
35	11	17
34	13	19
32	12	18
31	9	18
29	10	16
28	8	14
30	7	12
31	9	11
33	9	10
33	8	7
31	8	6
30	6	5
32	5	4
32	6	2
33	4	2
35	5	3
37	7	2
38	7	4
39	5	3
40	3	4
38	4	5
36	6	6
37	8	8
36	8	10
35	8	13
36	6	13
36	4	13
34	3	14
34	3	12
31	2	12
31	2	15
33	4	16
34	6	15
33	5	13
31	6	14
31	9	14
32	11	12
30	12	14
31	14	12
29	15	11
29	16	13
31	17	11
29	18	13
29	17	11
27	16	13
27	16	15
25	15	15
23	13	16
21	15	15
19	15	16
17	13	15
16	12	17
14	13	17
13	13	14
11	14	13
11	17	13
9	19	14
10	17	15
9	17	18
7	16	17
4	17	17
6	16	19
6	13	19
8	14	20
11	13	20
13	13	19
13	10	20
13	8	20
12	7	18
9	7	18
9	7	15
9	4	15
7	5	17
4	5	16
6	5	15
7	8	15
7	7	13
7	5	12
9	6	11
9	3	11
7	4	10
4	4	9
4	4	7
4	4	5
5	6	6
7	8	7
5	8	7
3	10	6
1	10	6
1	11	9
3	11	8
3	12	10
2	14	9
4	15	10
5	13	12
7	13	12
6	12	10
7	14	10
6	12	8
8	12	9
10	10	8
12	11	9
12	14	10
13	16	11
13	15	13
13	18	13
12	20	12
9	20	11
9	19	8
7	20	6
6	18	7
6	17	9
6	16	7
8	15	7
7	15	5
8	13	5
10	11	6
12	12	5
10	11	4
13	11	3
13	8	3
14	9	5
14	8	7
16	9	6
17	11	7
15	12	6
17	13	5
19	13	4
18	11	2
17	12	0
15	11	2
17	10	4
19	9	2
20	9	0
22	8	0
23	8	3
21	6	2
19	5	1
19	7	0
22	6	0
25	6	1
25	9	2
24	11	4
22	11	5
23	8	5
25	7	5
25	8	7
27	6	8
29	5	7
29	3	8
27	2	9
27	4	10
29	3	11
26	2	11
25	4	11
26	5	13
26	7	12
24	9	11
24	8	14
24	5	13
24	6	16
26	4	17
23	3	17
21	4	15
19	5	17
20	6	15
22	8	16
22	11	17
20	9	16
20	10	13
21	9	11
20	9	8
18	8	6
18	9	9
20	11	8
23	12	8
25	11	10
24	13	10
23	15	11
23	16	9
24	18	7
23	16	5
24	14	5
24	15	3
23	15	1
25	15	1
28	15	1
27	16	3
26	14	4
27	15	6
29	13	5
28	11	7
30	12	7
32	12	6
34	13	7
35	13	4
35	16	3
35	16	6
37	15	6
37	15	4
39	13	5
39	15	6
37	16	8
35	17	9
37	17	10
36	19	10
38	20	10
41	20	11
41	17	12
40	15	11
41	17	9
44	17	10
45	19	10
47	17	11
50	17	11
49	17	8
51	16	7
51	13	6
52	14	8
52	16	9
54	15	8
57	14	8
57	17	9
59	17	8
59	16	6
58	18	5
60	17	4
61	18	6
61	19	8
61	16	7
61	15	10
59	16	11
59	13	12
57	13	11
58	11	12
59	10	14
60	12	14
62	11	13
62	11	11
65	11	10
64	11	12
65	14	12
64	16	10
67	17	10
65	19	11
63	20	13
63	20	16
62	20	19
64	19	19
63	18	17
63	18	15
65	16	14
63	15	16
62	13	16
63	13	19
66	12	19
66	14	18
68	15	16
69	15	18
68	13	18
69	14	20
71	13	19
72	13	17
71	11	16
71	11	18
73	10	19
75	8	20
74	7	18
75	7	15
76	4	15
77	4	12
78	7	12
78	8	15
78	11	15
80	10	17
79	8	17
81	6	16
80	5	14
78	5	14
79	3	14
79	0	14
78	0	16
80	1	18
82	2	19
82	4	20
81	6	20
